,,"Demographic Information, Households and Race/Ethnicity",,,,,,,,,,,,,,,,,,,,,,,,,Children in Poverty < 18,,,,,,,,,,,,,,,,,,,Teen Pregnancy,,,Substance Abuse Treatment,,,,,Child Abuse and Neglect Related Fatalities (2010-2014),,,Substantiated < 18 (2010-2014),,,Rankings - Larger Numbers Indicate Higher Risk (1=lowest risk),,,,,,,
ZCTA,County Name,Corresponding Counties,Total Population (2010-2014),2010 Child Population (under 18),2011 Child Population (under 18),2012 Child Population (under 18),2013 Child Population (under 18),2014 Child Population (under 18),Child Population (under 18) 5yr,Not Hispanic or Latino,"Non-Hispanic, White Alone","Non-Hispanic, Black or African American Alone","Non-Hispanic, American Indian and Alaska Native Alone","Non-Hispanic, Asian Alone","Non-Hispanic, Native Hawaiian and Pacific Islander Alone","Non-Hispanic, Other Alone","Non-Hispanic, Two or More Races",Hispanic or Latino,"Hispanic or Latino, White Alone","Hispanic or Latino, Black or African American Alone","Hispanic or Latino, American Indian and Alaska Native Alone","Hispanic or Latino, Asian Alone","Hispanic or Latino, Native Hawaiian and Pacific Islander Alone","Hispanic or Latino, Other Alone","Hispanic or Latino, Two or More Races",Total Family Households 5yr,Female-headed Household with Child 5yr,Total Estimated Child Population < 18yrs,Children in Poverty (under 18) 5yr,Average of Child Poverty (under 18) 5yr,Under 5 in poverty (male),5 Years in poverty (male),6 to 11 in Poverty (male),12 to 14 in Poverty (male),15 years in Poverty (male),16 and 17 in Poverty (male),Under 5 in Poverty (female),5 Years in Poverty (female),6 to 11 in Poverty (female),12 to 14 in Poverty (female),15 years in Poverty (female),16 and 17 in Poverty (female),Teen Birth and Married ,No Teen Birth and Married,Teen Birth and Unmarried (15-19yrs),No Teen Birth and Unmarried,Number of Teen Births (15-19yrs); 2008-2012 American Community Survey,Total Female Population (15-19yrs); 2008-2012 American Community Survey,Average Teen Birth(15-19yrs); 2008-2012 American Community Survey,Unique Clients Admitted for Substance Abuse Treatment (*=suppressed),Number of state funded substance abuse service types utilized by individuals,Drug- Related Offenses,Domestic Violence Offenses,Average Substance Abuse Treatment; 2008-2012 American Community Survey,Child Abuse and Neglect Fatalities 5yr,Aggregated Child Population Estimate (2010 - 2014),Average Child Abuse and Neglect Related Fatalities < 18yrs,Total Number of Substantiated Cases (under 18) ,2010 - 2014 Aggregated Child Population Estimate (under 18) ,Average Number of Substantiated Cases (under 18),Poverty Ranking for Children (under 18) 5yr,Teen Births (15-19) 5yr,Substance Abuse Rating,Child Abuse and Neglect Fatalities 5yr,Substantiated Abuse Rating  (under 18),Mean of Overall Risk Rankings,Overall Risk Ranking
79357,Crosby County,Crosby County,2421,691,797,749,743,707,737,990,913,67,0,0,0,0,10,1490,1276,0,3,0,0,184,27,849,55,707,204,28.85%,35,10,24,5,6,23,20,4,47,8,0,22,0,0,5,110,5,115,4.35%,*,5,N/A,N/A,19.23%,0,737,0.00%,71,737,9.63%,1228,1133,1090,1,1698,1030,1442
79358,Hockley County,Hockley County;Lubbock County,1143,290,377,320,349,335,334,676,640,21,7,0,0,1,7,436,271,0,0,0,0,153,12,371,23,335,41,12.24%,3,0,2,13,0,14,1,0,1,3,0,4,0,2,0,42,0,44,0.00%,0,0,N/A,N/A,0.00%,0,334,0.00%,21,334,6.28%,549,1,1,1,1356,381.6,399
79358,Lubbock County,Hockley County;Lubbock County,1143,290,377,320,349,335,334,676,640,21,7,0,0,1,7,436,271,0,0,0,0,153,12,371,23,335,41,12.24%,3,0,2,13,0,14,1,0,1,3,0,4,0,2,0,42,0,44,0.00%,0,0,N/A,N/A,0.00%,0,334,0.00%,21,334,6.28%,549,1,1,1,1356,381.6,399
79359,Gaines County,Gaines County;Terry County;Yoakum County,2760,893,1085,857,1090,983,982,950,731,149,0,0,0,0,70,1963,1735,0,0,0,0,143,85,891,85,983,418,42.52%,63,0,112,0,0,24,76,60,68,15,0,0,0,0,0,131,0,131,0.00%,*,1,N/A,N/A,3.85%,0,982,0.00%,23,982,2.34%,1588,1,467,1,411,493.6,582
79359,Terry County,Gaines County;Terry County;Yoakum County,2760,893,1085,857,1090,983,982,950,731,149,0,0,0,0,70,1963,1735,0,0,0,0,143,85,891,85,983,418,42.52%,63,0,112,0,0,24,76,60,68,15,0,0,0,0,0,131,0,131,0.00%,*,1,N/A,N/A,3.85%,0,982,0.00%,23,982,2.34%,1588,1,467,1,411,493.6,582
79359,Yoakum County,Gaines County;Terry County;Yoakum County,2760,893,1085,857,1090,983,982,950,731,149,0,0,0,0,70,1963,1735,0,0,0,0,143,85,891,85,983,418,42.52%,63,0,112,0,0,24,76,60,68,15,0,0,0,0,0,131,0,131,0.00%,*,1,N/A,N/A,3.85%,0,982,0.00%,23,982,2.34%,1588,1,467,1,411,493.6,582
79360,Gaines County,Gaines County,14479,4840,4459,4806,4800,5044,4790,9705,9342,185,78,32,48,0,20,4209,3449,13,98,0,0,497,152,4146,145,5044,534,10.59%,17,10,135,29,0,37,126,42,122,8,8,0,0,102,34,366,34,502,6.77%,*,3,N/A,N/A,11.54%,0,4790,0.00%,109,4790,2.28%,487,1272,824,1,401,597,769
79363,Hockley County,Hockley County;Lubbock County,5078,1622,1465,1527,1572,1546,1546,4024,3856,7,2,32,0,0,127,1158,858,0,0,0,0,276,24,1710,133,1546,158,10.22%,33,13,8,29,0,17,34,0,20,0,0,4,0,0,8,178,8,186,4.30%,*,2,N/A,N/A,7.69%,1,1546,0.06%,85,1546,5.50%,471,1123,684,1807,1175,1052,1472
79363,Lubbock County,Hockley County;Lubbock County,5078,1622,1465,1527,1572,1546,1546,4024,3856,7,2,32,0,0,127,1158,858,0,0,0,0,276,24,1710,133,1546,158,10.22%,33,13,8,29,0,17,34,0,20,0,0,4,0,0,8,178,8,186,4.30%,*,2,N/A,N/A,7.69%,1,1546,0.06%,85,1546,5.50%,471,1123,684,1807,1175,1052,1472
79364,Garza County,Garza County;Lubbock County;Lynn County,7861,2271,2286,2133,1981,1972,2129,4717,4195,399,0,23,0,0,100,3517,2556,18,0,0,0,793,150,3281,283,1972,479,24.29%,14,0,21,97,0,94,53,36,51,43,58,12,0,0,0,303,0,303,0.00%,15,6,N/A,N/A,23.08%,0,2129,0.00%,287,2129,13.48%,1041,1,1209,1,1821,814.6,1153
79364,Lubbock County,Garza County;Lubbock County;Lynn County,7861,2271,2286,2133,1981,1972,2129,4717,4195,399,0,23,0,0,100,3517,2556,18,0,0,0,793,150,3281,283,1972,479,24.29%,14,0,21,97,0,94,53,36,51,43,58,12,0,0,0,303,0,303,0.00%,15,6,N/A,N/A,23.08%,0,2129,0.00%,287,2129,13.48%,1041,1,1209,1,1821,814.6,1153
79364,Lynn County,Garza County;Lubbock County;Lynn County,7861,2271,2286,2133,1981,1972,2129,4717,4195,399,0,23,0,0,100,3517,2556,18,0,0,0,793,150,3281,283,1972,479,24.29%,14,0,21,97,0,94,53,36,51,43,58,12,0,0,0,303,0,303,0.00%,15,6,N/A,N/A,23.08%,0,2129,0.00%,287,2129,13.48%,1041,1,1209,1,1821,814.6,1153
79366,Lubbock County,Lubbock County,1411,209,258,273,376,362,296,1193,1165,0,0,8,0,0,20,204,174,0,0,0,0,30,0,506,6,362,48,13.26%,0,0,0,0,0,0,0,0,35,13,0,0,0,0,0,5,0,5,0.00%,*,1,N/A,N/A,3.85%,0,296,0.00%,11,296,3.72%,583,1,467,1,736,357.6,357
79367,Hockley County,Hockley County,784,181,152,222,313,271,228,531,524,0,2,0,0,3,2,272,216,0,0,0,0,56,0,241,40,271,89,32.84%,9,0,21,21,0,3,0,0,28,0,0,7,0,0,6,9,6,15,40.00%,*,3,N/A,N/A,11.54%,0,228,0.00%,15,228,6.58%,1350,1589,824,1,1405,1033.8,1449
79369,Lamb County,Lamb County,126,19,0,11,10,20,12,86,47,39,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,20,12,60.00%,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0.00%,0,0,N/A,N/A,0.00%,0,12,0.00%,0,12,0.00%,1779,1,1,1,1,356.6,354
79370,Crosby County,Crosby County;Dickens County,1706,375,369,375,319,322,352,1185,1062,101,6,0,0,0,16,553,379,11,7,0,0,148,8,639,54,322,72,22.36%,20,5,0,16,0,7,13,0,11,0,0,0,0,0,0,87,0,87,0.00%,*,3,N/A,N/A,11.54%,0,352,0.00%,58,352,16.48%,962,1,824,1,1851,727.8,1018
79370,Dickens County,Crosby County;Dickens County,1706,375,369,375,319,322,352,1185,1062,101,6,0,0,0,16,553,379,11,7,0,0,148,8,639,54,322,72,22.36%,20,5,0,16,0,7,13,0,11,0,0,0,0,0,0,87,0,87,0.00%,*,3,N/A,N/A,11.54%,0,352,0.00%,58,352,16.48%,962,1,824,1,1851,727.8,1018
79371,Bailey County,Bailey County;Lamb County,1368,409,433,414,473,439,434,794,711,37,0,0,0,0,46,621,458,0,0,0,0,90,73,491,43,439,198,45.10%,43,14,26,0,8,12,22,0,51,22,0,0,0,0,0,38,0,38,0.00%,0,0,N/A,N/A,0.00%,0,434,0.00%,5,434,1.15%,1626,1,1,1,204,366.6,378
79371,Lamb County,Bailey County;Lamb County,1368,409,433,414,473,439,434,794,711,37,0,0,0,0,46,621,458,0,0,0,0,90,73,491,43,439,198,45.10%,43,14,26,0,8,12,22,0,51,22,0,0,0,0,0,38,0,38,0.00%,0,0,N/A,N/A,0.00%,0,434,0.00%,5,434,1.15%,1626,1,1,1,204,366.6,378
79372,Hockley County,Hockley County,1331,454,507,407,452,461,456,693,645,0,6,5,0,0,37,577,394,25,16,0,0,135,7,407,23,461,56,12.15%,10,0,8,3,0,0,14,0,15,0,3,3,0,4,0,52,0,56,0.00%,0,0,N/A,N/A,0.00%,0,456,0.00%,25,456,5.48%,546,1,1,1,1171,344,337
79373,Lynn County,Lynn County,3257,913,880,867,903,823,877,1968,1805,56,84,0,0,0,23,1388,1192,0,66,0,0,102,28,1278,109,823,190,23.09%,41,8,46,12,11,0,39,2,31,0,0,0,0,8,0,90,0,98,0.00%,*,5,N/A,N/A,19.23%,0,877,0.00%,68,877,7.75%,993,1,1090,1,1544,725.8,1016
79376,Yoakum County,Yoakum County,103,31,0,5,5,25,13,77,65,0,0,0,0,12,0,0,0,0,0,0,0,0,0,43,0,25,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,N/A,N/A,0.00%,0,13,0.00%,0,13,0.00%,1,N/A,1,1,1,1,1
79377,Dawson County,Dawson County,249,84,58,59,54,62,63,96,96,0,0,0,0,0,0,137,53,0,0,0,0,84,0,79,0,62,1,1.61%,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0.00%,0,0,N/A,N/A,0.00%,0,63,0.00%,0,63,0.00%,176,1,1,1,1,36,90
79378,Terry County,Terry County,354,55,107,61,66,74,73,310,284,4,0,0,0,0,22,52,8,0,6,0,0,37,1,121,8,74,9,12.16%,0,0,0,2,0,5,0,1,0,1,0,0,0,0,0,48,0,48,0.00%,0,0,N/A,N/A,0.00%,0,73,0.00%,0,73,0.00%,547,1,1,1,1,110.2,122
79379,Cochran County,Cochran County,663,164,178,180,190,228,188,424,357,32,5,1,0,2,27,240,126,3,26,0,0,59,26,206,7,228,19,8.33%,3,0,3,2,3,3,3,0,1,1,0,0,0,3,0,50,0,53,0.00%,*,1,N/A,N/A,3.85%,0,188,0.00%,5,188,2.66%,398,1,467,1,478,269,238
79380,Hockley County,Hockley County,278,44,93,91,87,88,81,187,183,0,0,0,0,0,4,94,76,0,0,0,0,18,0,95,9,88,12,13.64%,4,2,0,0,0,0,0,0,4,2,0,0,0,0,0,7,0,7,0.00%,0,0,N/A,N/A,0.00%,0,81,0.00%,3,81,3.72%,599,1,1,1,736,267.6,237
79381,Lynn County,Lynn County,1340,345,359,368,377,401,370,609,603,0,6,0,0,0,0,654,551,0,3,0,0,87,13,420,41,401,103,25.69%,8,0,6,11,0,20,9,8,14,9,0,18,0,3,0,32,0,35,0.00%,*,4,N/A,N/A,15.38%,0,370,0.00%,10,370,2.70%,1104,1,952,1,489,509.4,613
79382,Lubbock County,Lubbock County,5974,1876,1989,2017,1769,1901,1910,4524,4297,111,0,0,0,25,91,1528,715,5,0,0,0,558,250,2003,123,1901,378,19.88%,58,26,50,50,0,0,12,0,155,27,0,0,0,0,0,201,0,201,0.00%,*,9,N/A,N/A,34.62%,0,1910,0.00%,123,1910,6.44%,861,1,1488,1,1378,745.8,1049
79401,Lubbock County,Lubbock County,7639,655,584,579,647,701,633,5190,4077,682,36,270,0,32,93,1902,1296,0,39,14,0,336,217,3024,116,701,293,41.80%,9,0,58,6,0,71,9,8,48,14,8,62,0,0,0,268,0,268,0.00%,25,8,N/A,N/A,30.77%,0,633,0.00%,169,633,26.69%,1568,1,1409,1,1877,971.2,1365
79403,Lubbock County,Lubbock County,17237,4959,5073,5516,5231,4731,5102,9077,4619,4209,33,7,0,17,192,8811,5655,216,18,19,0,2778,125,5349,739,4731,2018,42.65%,193,41,465,232,25,99,247,66,327,177,18,128,0,7,19,549,19,575,3.30%,48,13,N/A,N/A,50.00%,0,5102,0.00%,867,5102,16.99%,1593,1054,1764,1,1853,1253,1666
79404,Lubbock County,Lubbock County,11133,3317,2965,2792,3244,3298,3123,5100,2061,2681,26,22,19,0,291,5847,4598,71,4,12,0,895,267,3240,577,3298,1501,45.51%,291,0,210,63,10,24,377,61,284,66,82,33,0,24,21,406,21,451,4.66%,24,8,N/A,N/A,30.77%,0,3123,0.00%,557,3123,17.83%,1635,1154,1409,1,1859,1211.6,1634
79406,Lubbock County,Lubbock County,6846,0,0,0,0,25,5,5756,4665,480,20,272,0,0,319,1398,766,0,22,0,0,410,200,32,0,25,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2796,17,2813,0.60%,*,2,N/A,N/A,7.69%,0,5,0.00%,0,5,0.00%,1,863,684,1,1,310,287
79407,Hockley County,Hockley County;Lubbock County,17787,4697,4809,4430,4236,4070,4448,13262,10992,1256,28,666,0,84,236,4223,2871,0,101,0,0,1182,69,7331,657,4070,1007,24.74%,173,31,366,34,26,8,71,9,95,138,31,25,0,0,0,689,0,689,0.00%,26,7,N/A,N/A,26.92%,0,4448,0.00%,401,4448,9.01%,1064,1,1308,1,1652,805.2,1144
79407,Lubbock County,Hockley County;Lubbock County,17787,4697,4809,4430,4236,4070,4448,13262,10992,1256,28,666,0,84,236,4223,2871,0,101,0,0,1182,69,7331,657,4070,1007,24.74%,173,31,366,34,26,8,71,9,95,138,31,25,0,0,0,689,0,689,0.00%,26,7,N/A,N/A,26.92%,0,4448,0.00%,401,4448,9.01%,1064,1,1308,1,1652,805.2,1144
79410,Lubbock County,Lubbock County,8926,1555,1402,1481,1531,1488,1491,6673,6109,377,0,136,0,0,51,2190,1152,0,92,14,0,702,230,3729,154,1488,503,33.80%,175,0,73,29,18,48,82,0,39,21,0,18,0,0,0,154,0,154,0.00%,15,8,N/A,N/A,30.77%,0,1491,0.00%,121,1491,8.11%,1373,1,1409,1,1591,875,1235
79411,Lubbock County,Lubbock County,8946,2113,2415,2425,2521,2348,2364,3766,3323,331,31,49,0,10,22,5412,3906,0,0,0,0,1255,251,3225,428,2348,1324,56.39%,177,28,167,37,9,22,459,6,273,46,6,94,0,26,28,213,28,267,10.49%,41,13,N/A,N/A,50.00%,0,2364,0.00%,342,2364,14.46%,1750,1418,1764,1,1837,1354,1757
79412,Lubbock County,Lubbock County,16325,4810,4504,4556,4658,4890,4684,7088,5153,1664,65,0,20,38,148,8964,6882,96,85,0,0,1814,87,5664,724,4890,2374,48.55%,378,91,476,208,31,80,497,8,226,202,88,89,32,0,56,510,88,598,14.72%,55,14,N/A,N/A,53.85%,2,4684,0.04%,775,4684,16.55%,1683,1501,1834,1736,1852,1721.2,1933
79413,Lubbock County,Lubbock County,21454,4957,5069,4595,5245,5533,5080,15368,13630,1159,31,213,9,0,326,5599,4463,71,8,0,0,925,132,8452,697,5533,1209,21.85%,295,19,184,229,7,14,189,31,127,54,22,38,11,0,32,600,43,643,6.69%,46,12,N/A,N/A,46.15%,0,5080,0.00%,458,5080,9.02%,940,1267,1705,1,1655,1113.6,1528
79414,Lubbock County,Lubbock County,18647,4175,4136,4450,4359,4295,4283,12244,9952,1708,116,173,0,0,295,6015,3460,0,0,15,0,2185,355,7638,911,4295,1607,37.42%,377,75,340,117,0,5,210,41,258,122,62,0,0,0,0,409,0,409,0.00%,46,11,N/A,N/A,42.31%,0,4283,0.00%,386,4283,9.01%,1458,1,1648,1,1652,952,1336
79415,Lubbock County,Lubbock County,17358,4357,3983,3829,3863,3888,3984,7097,5493,443,40,919,9,13,180,10309,6534,100,58,16,0,3063,538,6455,605,3888,1250,32.15%,192,12,183,101,0,82,262,12,222,75,15,94,16,12,115,630,131,773,16.95%,49,13,N/A,N/A,50.00%,0,3984,0.00%,513,3984,12.88%,1331,1516,1764,1,1813,1285,1691
79416,Lubbock County,Lubbock County,33411,7177,6952,7097,7506,7699,7286,23506,19772,1983,21,1172,6,10,542,9266,5783,139,58,0,11,2524,751,12767,859,7699,1071,13.91%,83,22,81,55,41,133,255,44,260,66,0,31,0,33,69,1029,69,1131,6.10%,41,13,N/A,N/A,50.00%,0,7286,0.00%,511,7286,7.01%,611,1228,1764,1,1469,1014.6,1420
79423,Lubbock County,Lubbock County;Lynn County,35063,8271,8121,8553,8883,9603,8686,25388,22792,1206,136,355,0,17,882,8421,6409,65,22,0,0,1403,522,13267,1054,9603,1077,11.22%,131,82,155,30,27,68,334,9,72,98,0,71,0,13,0,831,0,844,0.00%,69,16,N/A,N/A,61.54%,0,8686,0.00%,575,8686,6.62%,511,1,1896,1,1416,765,1070
79423,Lynn County,Lubbock County;Lynn County,35063,8271,8121,8553,8883,9603,8686,25388,22792,1206,136,355,0,17,882,8421,6409,65,22,0,0,1403,522,13267,1054,9603,1077,11.22%,131,82,155,30,27,68,334,9,72,98,0,71,0,13,0,831,0,844,0.00%,69,16,N/A,N/A,61.54%,0,8686,0.00%,575,8686,6.62%,511,1,1896,1,1416,765,1070
79424,Lubbock County,Lubbock County,42008,9522,8857,9571,9331,10045,9465,34391,31911,650,202,1108,75,0,445,5723,4265,67,55,15,0,840,481,16313,693,10045,541,5.39%,107,0,56,8,13,18,96,16,83,34,48,62,0,0,0,1072,0,1072,0.00%,49,9,N/A,N/A,34.62%,0,9465,0.00%,294,9465,3.11%,287,1,1488,1,578,471,543
79501,Jones County,Jones County,3131,914,896,956,816,963,909,2285,2210,66,0,0,0,4,5,841,699,0,0,0,0,135,7,1250,15,963,169,17.55%,15,0,82,0,12,12,30,0,0,12,6,0,0,9,0,187,0,196,0.00%,*,3,N/A,N/A,11.54%,0,909,0.00%,104,909,11.44%,767,1,824,1,1777,674,921
79502,Stonewall County,Stonewall County,1277,314,231,322,338,389,319,993,920,56,6,0,0,0,11,222,132,2,0,0,0,61,27,490,11,389,111,28.53%,15,30,2,2,10,14,15,6,3,0,14,0,0,0,0,31,0,31,0.00%,*,1,N/A,N/A,3.85%,0,319,0.00%,27,319,8.47%,1215,1,467,1,1616,660,900
79503,Jones County,Jones County,153,35,18,17,33,28,26,177,174,0,3,0,0,0,0,6,4,0,0,0,0,2,0,76,0,28,8,28.57%,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,N/A,N/A,0.00%,0,26,0.00%,0,26,0.00%,1217,N/A,1,1,1,305,276
79504,Callahan County,Callahan County;Shackelford County,3065,594,716,629,553,558,610,2672,2619,12,0,18,0,0,23,261,193,25,0,0,0,43,0,1192,84,558,183,32.80%,34,11,36,12,3,7,32,0,5,6,9,28,0,0,0,85,0,85,0.00%,*,1,N/A,N/A,3.85%,0,610,0.00%,52,610,8.52%,1349,1,467,1,1621,687.8,959
79504,Shackelford County,Callahan County;Shackelford County,3065,594,716,629,553,558,610,2672,2619,12,0,18,0,0,23,261,193,25,0,0,0,43,0,1192,84,558,183,32.80%,34,11,36,12,3,7,32,0,5,6,9,28,0,0,0,85,0,85,0.00%,*,1,N/A,N/A,3.85%,0,610,0.00%,52,610,8.52%,1349,1,467,1,1621,687.8,959
79505,Knox County,Knox County,349,73,94,139,103,108,103,326,300,25,0,0,0,0,1,51,47,0,0,0,0,3,1,132,17,108,27,25.00%,2,6,2,0,0,0,8,0,9,0,0,0,0,0,0,23,0,23,0.00%,*,1,N/A,N/A,3.85%,0,103,0.00%,8,103,7.74%,1076,1,467,1,1543,617.6,797
79506,Coke County,Coke County;Nolan County,825,139,173,158,170,172,162,714,693,0,0,0,0,0,21,48,21,0,0,0,0,0,27,310,10,172,20,11.63%,0,0,0,9,5,0,6,0,0,0,0,0,0,0,0,11,0,11,0.00%,0,0,N/A,N/A,0.00%,1,162,0.62%,12,162,7.39%,526,1,1,1909,1515,790.4,1108
79506,Nolan County,Coke County;Nolan County,825,139,173,158,170,172,162,714,693,0,0,0,0,0,21,48,21,0,0,0,0,0,27,310,10,172,20,11.63%,0,0,0,9,5,0,6,0,0,0,0,0,0,0,0,11,0,11,0.00%,0,0,N/A,N/A,0.00%,1,162,0.62%,12,162,7.39%,526,1,1,1909,1515,790.4,1108
79508,Taylor County,Taylor County,1158,285,286,270,233,222,259,1193,1053,8,0,90,0,0,42,73,61,0,0,0,0,12,0,492,5,222,31,13.96%,6,0,6,3,0,0,5,0,6,0,0,5,0,0,2,96,2,98,2.04%,0,0,N/A,N/A,0.00%,0,259,0.00%,26,259,10.03%,615,970,1,1,1714,660.2,901
79510,Callahan County,Callahan County;Coleman County,7519,2052,1915,1931,1937,1852,1937,7377,7032,96,0,26,0,15,208,596,413,0,0,0,0,59,124,3014,162,1852,358,19.33%,36,14,40,37,26,30,29,0,52,48,21,25,0,0,14,299,14,313,4.47%,*,4,N/A,N/A,15.38%,1,1937,0.05%,128,1937,6.61%,834,1145,952,1779,1414,1224.8,1644
79510,Coleman County,Callahan County;Coleman County,7519,2052,1915,1931,1937,1852,1937,7377,7032,96,0,26,0,15,208,596,413,0,0,0,0,59,124,3014,162,1852,358,19.33%,36,14,40,37,26,30,29,0,52,48,21,25,0,0,14,299,14,313,4.47%,*,4,N/A,N/A,15.38%,1,1937,0.05%,128,1937,6.61%,834,1145,952,1779,1414,1224.8,1644
79511,Borden County,Borden County;Howard County,1128,324,121,197,166,263,214,699,691,0,2,0,0,0,6,242,117,0,0,0,0,125,0,424,12,263,25,9.51%,4,0,6,0,0,0,0,0,6,0,0,9,0,0,0,41,0,41,0.00%,0,0,N/A,N/A,0.00%,0,214,0.00%,15,214,7.00%,430,1,1,1,1467,380,398
79511,Howard County,Borden County;Howard County,1128,324,121,197,166,263,214,699,691,0,2,0,0,0,6,242,117,0,0,0,0,125,0,424,12,263,25,9.51%,4,0,6,0,0,0,0,0,6,0,0,9,0,0,0,41,0,41,0.00%,0,0,N/A,N/A,0.00%,0,214,0.00%,15,214,7.00%,430,1,1,1,1467,380,398
79512,Mitchell County,Mitchell County;Scurry County,8147,1499,1607,1593,1590,1560,1570,5110,4006,851,9,38,0,14,192,3061,2314,25,0,0,0,628,94,2233,124,1560,157,10.06%,36,0,3,0,0,21,34,0,48,15,0,0,0,0,0,119,0,119,0.00%,*,7,N/A,N/A,26.92%,0,1570,0.00%,165,1570,10.51%,463,1,1308,1,1731,700.8,980
79512,Scurry County,Mitchell County;Scurry County,8147,1499,1607,1593,1590,1560,1570,5110,4006,851,9,38,0,14,192,3061,2314,25,0,0,0,628,94,2233,124,1560,157,10.06%,36,0,3,0,0,21,34,0,48,15,0,0,0,0,0,119,0,119,0.00%,*,7,N/A,N/A,26.92%,0,1570,0.00%,165,1570,10.51%,463,1,1308,1,1731,700.8,980
79517,Borden County,Borden County;Scurry County,156,43,18,55,49,65,46,155,150,0,5,0,0,0,0,16,16,0,0,0,0,0,0,60,0,65,15,23.08%,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,N/A,*,1,N/A,N/A,3.85%,0,46,0.00%,1,46,2.17%,990,N/A,467,1,374,458,512
79517,Scurry County,Borden County;Scurry County,156,43,18,55,49,65,46,155,150,0,5,0,0,0,0,16,16,0,0,0,0,0,0,60,0,65,15,23.08%,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,N/A,*,1,N/A,N/A,3.85%,0,46,0.00%,1,46,2.17%,990,N/A,467,1,374,458,512
79518,Kent County,Kent County,163,25,42,42,40,35,37,173,173,0,0,0,0,0,0,9,9,0,0,0,0,0,0,83,0,35,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,N/A,N/A,0.00%,0,37,0.00%,0,37,0.00%,1,N/A,1,1,1,1,1
79519,Coleman County,Coleman County;Runnels County,66,18,5,19,38,19,20,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,19,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.00%,0,0,N/A,N/A,0.00%,0,20,0.00%,4,20,20.20%,1,1,1,1,1866,374,388
79519,Runnels County,Coleman County;Runnels County,66,18,5,19,38,19,20,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,19,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0.00%,0,0,N/A,N/A,0.00%,0,20,0.00%,4,20,20.20%,1,1,1,1,1866,374,388
79520,Fisher County,Fisher County;Jones County,2371,634,577,693,684,703,658,1772,1713,48,0,0,0,0,11,482,385,17,6,16,0,51,7,916,65,703,259,36.84%,108,0,20,14,0,0,19,0,64,21,0,13,0,0,0,84,0,84,0.00%,*,3,N/A,N/A,11.54%,0,658,0.00%,54,658,8.20%,1445,1,824,1,1597,773.6,1084
79520,Jones County,Fisher County;Jones County,2371,634,577,693,684,703,658,1772,1713,48,0,0,0,0,11,482,385,17,6,16,0,51,7,916,65,703,259,36.84%,108,0,20,14,0,0,19,0,64,21,0,13,0,0,0,84,0,84,0.00%,*,3,N/A,N/A,11.54%,0,658,0.00%,54,658,8.20%,1445,1,824,1,1597,773.6,1084
79521,Haskell County,Haskell County,3897,837,743,727,711,773,758,2502,2240,203,0,18,0,0,41,1235,751,0,0,0,0,432,52,1492,110,773,328,42.43%,17,0,34,0,0,27,42,8,105,0,0,95,65,0,0,129,65,194,33.51%,*,1,N/A,N/A,3.85%,0,758,0.00%,56,758,7.39%,1584,1581,467,1,1515,1029.6,1441
79525,Jones County,Jones County,2081,714,805,631,613,474,647,2252,2165,3,7,0,0,46,31,157,157,0,0,0,0,0,0,1005,27,474,125,26.37%,0,0,48,20,0,16,0,0,27,0,14,0,0,0,0,53,0,53,0.00%,*,4,N/A,N/A,15.38%,0,647,0.00%,38,647,5.87%,1131,1,952,1,1252,667.4,911
79526,Fisher County,Fisher County;Scurry County,1038,233,263,231,208,250,237,686,674,4,8,0,0,0,0,131,74,0,0,0,0,42,15,314,20,250,55,22.00%,0,0,8,9,7,8,0,0,20,0,0,3,0,0,0,4,0,4,0.00%,0,0,N/A,N/A,0.00%,1,237,0.42%,14,237,5.91%,944,1,1,1906,1265,823.4,1163
79526,Scurry County,Fisher County;Scurry County,1038,233,263,231,208,250,237,686,674,4,8,0,0,0,0,131,74,0,0,0,0,42,15,314,20,250,55,22.00%,0,0,8,9,7,8,0,0,20,0,0,3,0,0,0,4,0,4,0.00%,0,0,N/A,N/A,0.00%,1,237,0.42%,14,237,5.91%,944,1,1,1906,1265,823.4,1163
79527,Borden County,Borden County;Scurry County,170,60,113,106,93,40,82,134,134,0,0,0,0,0,0,111,74,0,0,0,0,37,0,81,0,40,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0.00%,0,0,N/A,N/A,0.00%,0,82,0.00%,5,82,6.07%,1,1,1,1,1313,263.4,232
